sailboat_id,latitude,longitude,compass_heading,tilt
Sailboat-1,41.769124,-71.387495,135.3,1.24
Sailboat-2,41.771707,-71.396279,38.4,2.11
Sailboat-3,41.782397,-71.386119,150.3,-2.17
Sailboat-4,41.776037,-71.393236,68.6,-2.16
Sailboat-5,41.774833,-71.391111,9.9,2.27
Sailboat-1,41.769155,-71.387495,133.5,0.93
Sailboat-2,41.771677,-71.396296,38.2,1.96
Sailboat-3,41.782390,-71.386146,151.3,-2.25
Sailboat-4,41.776049,-71.393211,67.1,-2.15
Sailboat-5,41.774824,-71.391151,8.4,2.59
Sailboat-1,41.769161,-71.387463,134.4,0.69
Sailboat-2,41.771687,-71.396317,37.8,2.15
Sailboat-3,41.782386,-71.386190,150.4,-2.06
Sailboat-4,41.776018,-71.393206,67.7,-2.03
Sailboat-5,41.774862,-71.391144,9.5,2.44
Sailboat-1,41.769172,-71.387430,132.7,0.69
Sailboat-2,41.771683,-71.396353,36.7,1.62
Sailboat-3,41.782393,-71.386202,149.3,-1.50
Sailboat-4,41.776000,-71.393163,68.3,-1.97
Sailboat-5,41.774887,-71.391192,10.9,2.32
Sailboat-1,41.769193,-71.387402,133.0,0.42
Sailboat-2,41.771689,-71.396371,37.7,1.28
Sailboat-3,41.782399,-71.386202,149.0,-1.59
Sailboat-4,41.776018,-71.393175,69.7,-1.80
Sailboat-5,41.774880,-71.391163,9.7,2.64
Sailboat-1,41.769154,-71.387393,133.3,0.65
Sailboat-2,41.771643,-71.396344,38.5,1.49
Sailboat-3,41.782379,-71.386156,149.7,-1.30
Sailboat-4,41.775972,-71.393207,70.0,-1.28
Sailboat-5,41.774845,-71.391165,11.0,2.60
Sailboat-1,41.769160,-71.387406,134.7,0.28
Sailboat-2,41.771618,-71.396377,38.5,1.26
Sailboat-3,41.782386,-71.386175,148.9,-1.08
Sailboat-4,41.775928,-71.393227,70.6,-1.25
Sailboat-5,41.774848,-71.391130,10.2,2.23
Sailboat-1,41.769110,-71.387364,133.0,0.11
Sailboat-2,41.771663,-71.396408,40.4,1.26
Sailboat-3,41.782387,-71.386134,149.8,-1.50
Sailboat-4,41.775904,-71.393239,70.8,-1.00
Sailboat-5,41.774873,-71.391154,8.2,2.40
Sailboat-1,41.769095,-71.387386,133.0,0.21
Sailboat-2,41.771670,-71.396391,41.7,1.32
Sailboat-3,41.782429,-71.386158,148.8,-1.83
Sailboat-4,41.775886,-71.393198,72.1,-1.04
Sailboat-5,41.774905,-71.391179,7.0,2.10
Sailboat-1,41.769125,-71.387369,133.6,-0.26
Sailboat-2,41.771702,-71.396436,41.8,1.37
Sailboat-3,41.782418,-71.386159,148.5,-2.05
Sailboat-4,41.775866,-71.393217,71.9,-0.85
Sailboat-5,41.774923,-71.391160,6.9,2.31
Sailboat-1,41.769114,-71.387358,133.9,0.22
Sailboat-2,41.771678,-71.396435,41.6,1.51
Sailboat-3,41.782423,-71.386157,147.0,-1.81
Sailboat-4,41.775858,-71.393236,70.0,-1.19
Sailboat-5,41.774875,-71.391205,8.3,1.94
Sailboat-1,41.769108,-71.387358,135.5,-0.20
Sailboat-2,41.771705,-71.396484,42.0,1.76
Sailboat-3,41.782390,-71.386178,146.5,-1.52
Sailboat-4,41.775843,-71.393279,69.9,-0.77
Sailboat-5,41.774879,-71.391184,6.7,1.99
Sailboat-1,41.769153,-71.387325,133.6,-0.07
Sailboat-2,41.771702,-71.396485,41.3,1.80
Sailboat-3,41.782394,-71.386227,144.9,-1.12
Sailboat-4,41.775840,-71.393247,70.6,-0.38
Sailboat-5,41.774923,-71.391220,5.8,2.33
Sailboat-1,41.769138,-71.387333,133.6,0.08
Sailboat-2,41.771710,-71.396457,40.1,2.09
Sailboat-3,41.782403,-71.386220,144.6,-0.79
Sailboat-4,41.775809,-71.393286,71.9,-0.28
Sailboat-5,41.774934,-71.391195,7.8,2.44
Sailboat-1,41.769167,-71.387293,135.2,0.11
Sailboat-2,41.771665,-71.396458,40.7,2.38
Sailboat-3,41.782388,-71.386243,143.0,-1.12
Sailboat-4,41.775781,-71.393251,71.6,-0.28
Sailboat-5,41.774891,-71.391221,7.2,2.43
Sailboat-1,41.769213,-71.387251,133.7,0.16
Sailboat-2,41.771685,-71.396459,42.6,2.19
Sailboat-3,41.782376,-71.386266,141.0,-1.03
Sailboat-4,41.775769,-71.393213,71.9,-0.01
Sailboat-5,41.774913,-71.391244,6.3,1.97
Sailboat-1,41.769212,-71.387246,133.1,-0.13
Sailboat-2,41.771693,-71.396448,43.6,2.36
Sailboat-3,41.782329,-71.386272,139.2,-1.10
Sailboat-4,41.775728,-71.393229,70.3,-0.26
Sailboat-5,41.774878,-71.391217,6.8,2.14
Sailboat-1,41.769213,-71.387236,134.4,-0.26
Sailboat-2,41.771649,-71.396429,42.5,1.90
Sailboat-3,41.782320,-71.386288,139.8,-0.81
Sailboat-4,41.775716,-71.393237,68.3,0.21
Sailboat-5,41.774849,-71.391250,7.8,2.50
Sailboat-1,41.769217,-71.387195,134.6,0.06
Sailboat-2,41.771647,-71.396434,41.4,1.54
Sailboat-3,41.782312,-71.386308,138.7,-1.01
Sailboat-4,41.775734,-71.393267,68.7,-0.08
Sailboat-5,41.774822,-71.391297,7.0,2.54
Sailboat-1,41.769248,-71.387166,133.8,-0.19
Sailboat-2,41.771619,-71.396417,41.6,1.10
Sailboat-3,41.782267,-71.386301,139.4,-0.85
Sailboat-4,41.775698,-71.393221,66.9,-0.05
Sailboat-5,41.774780,-71.391319,6.1,2.45
Sailboat-1,41.769275,-71.387190,135.4,0.03
Sailboat-2,41.771659,-71.396446,40.3,0.59
Sailboat-3,41.782309,-71.386316,140.9,-0.45
Sailboat-4,41.775682,-71.393211,65.7,0.11
Sailboat-5,41.774818,-71.391327,4.8,2.22
Sailboat-1,41.769308,-71.387211,134.5,0.26
Sailboat-2,41.771699,-71.396416,39.6,0.66
Sailboat-3,41.782274,-71.386281,140.8,-0.12
Sailboat-4,41.775670,-71.393236,64.7,-0.17
Sailboat-5,41.774820,-71.391367,4.6,2.09
Sailboat-1,41.769273,-71.387236,133.0,0.71
Sailboat-2,41.771728,-71.396433,40.1,0.22
Sailboat-3,41.782268,-71.386247,139.3,-0.18
Sailboat-4,41.775713,-71.393212,66.4,-0.26
Sailboat-5,41.774800,-71.391331,6.3,2.28
Sailboat-1,41.769289,-71.387199,134.0,0.36
Sailboat-2,41.771699,-71.396392,38.5,-0.24
Sailboat-3,41.782312,-71.386281,138.3,-0.03
Sailboat-4,41.775752,-71.393251,66.7,-0.18
Sailboat-5,41.774790,-71.391292,7.4,2.58
Sailboat-1,41.769278,-71.387187,132.5,0.70
Sailboat-2,41.771651,-71.396439,39.9,-0.35
Sailboat-3,41.782295,-71.386282,136.7,-0.46
Sailboat-4,41.775712,-71.393245,68.3,-0.20
Sailboat-5,41.774782,-71.391259,7.8,2.31
Sailboat-1,41.769319,-71.387232,131.3,0.67
Sailboat-2,41.771655,-71.396476,40.8,0.03
Sailboat-3,41.782268,-71.386322,134.9,-0.29
Sailboat-4,41.775669,-71.393241,69.6,-0.58
Sailboat-5,41.774817,-71.391222,7.1,2.26
Sailboat-1,41.769365,-71.387207,130.9,0.39
Sailboat-2,41.771679,-71.396491,39.4,0.42
Sailboat-3,41.782233,-71.386314,134.2,-0.14
Sailboat-4,41.775708,-71.393207,70.3,-0.21
Sailboat-5,41.774794,-71.391184,5.6,2.10
Sailboat-1,41.769345,-71.387166,129.5,0.62
Sailboat-2,41.771657,-71.396482,37.9,0.34
Sailboat-3,41.782221,-71.386272,136.1,-0.29
Sailboat-4,41.775711,-71.393163,69.1,-0.34
Sailboat-5,41.774780,-71.391161,4.7,1.81
Sailboat-1,41.769325,-71.387208,129.0,0.78
Sailboat-2,41.771685,-71.396456,39.1,0.11
Sailboat-3,41.782270,-71.386264,138.0,-0.48
Sailboat-4,41.775716,-71.393140,67.4,0.11
Sailboat-5,41.774827,-71.391187,3.3,1.50
Sailboat-1,41.769373,-71.387161,128.0,0.93
Sailboat-2,41.771687,-71.396459,40.9,-0.06
Sailboat-3,41.782245,-71.386282,139.0,-0.81
Sailboat-4,41.775727,-71.393174,68.2,-0.19
Sailboat-5,41.774812,-71.391155,3.6,1.41
Sailboat-1,41.769345,-71.387182,128.3,0.70
Sailboat-2,41.771661,-71.396493,42.0,-0.13
Sailboat-3,41.782264,-71.386327,140.5,-0.57
Sailboat-4,41.775677,-71.393176,67.2,-0.19
Sailboat-5,41.774847,-71.391162,4.0,1.37
Sailboat-1,41.769377,-71.387176,129.2,0.56
Sailboat-2,41.771663,-71.396510,43.9,0.28
Sailboat-3,41.782242,-71.386326,140.9,-1.02
Sailboat-4,41.775725,-71.393188,66.2,-0.04
Sailboat-5,41.774839,-71.391149,5.4,0.84
Sailboat-1,41.769378,-71.387220,129.6,0.63
Sailboat-2,41.771705,-71.396554,43.9,-0.03
Sailboat-3,41.782258,-71.386290,140.1,-0.67
Sailboat-4,41.775774,-71.393227,67.1,-0.11
Sailboat-5,41.774850,-71.391149,3.8,0.58
Sailboat-1,41.769375,-71.387196,129.4,0.32
Sailboat-2,41.771706,-71.396533,45.8,-0.07
Sailboat-3,41.782223,-71.386278,139.7,-0.98
Sailboat-4,41.775768,-71.393203,66.8,0.28
Sailboat-5,41.774842,-71.391199,4.9,0.35
Sailboat-1,41.769382,-71.387202,129.1,0.46
Sailboat-2,41.771734,-71.396557,46.7,-0.05
Sailboat-3,41.782266,-71.386324,140.1,-1.04
Sailboat-4,41.775769,-71.393219,68.0,0.18
Sailboat-5,41.774824,-71.391228,6.2,0.30
Sailboat-1,41.769365,-71.387225,128.5,0.35
Sailboat-2,41.771744,-71.396549,48.4,-0.12
Sailboat-3,41.782246,-71.386369,139.4,-0.58
Sailboat-4,41.775739,-71.393220,67.5,0.41
Sailboat-5,41.774801,-71.391198,4.9,0.66
Sailboat-1,41.769395,-71.387269,126.9,0.24
Sailboat-2,41.771697,-71.396594,47.1,-0.10
Sailboat-3,41.782290,-71.386392,141.3,-0.23
Sailboat-4,41.775720,-71.393232,66.3,0.15
Sailboat-5,41.774788,-71.391207,4.2,0.37
Sailboat-1,41.769359,-71.387264,128.4,-0.15
Sailboat-2,41.771730,-71.396548,47.7,0.36
Sailboat-3,41.782265,-71.386414,141.1,-0.57
Sailboat-4,41.775749,-71.393191,68.3,0.45
Sailboat-5,41.774783,-71.391254,5.1,0.66
Sailboat-1,41.769323,-71.387240,130.0,0.23
Sailboat-2,41.771773,-71.396573,49.3,0.10
Sailboat-3,41.782262,-71.386407,140.2,-0.08
Sailboat-4,41.775700,-71.393198,66.7,0.90
Sailboat-5,41.774762,-71.391259,5.5,0.74
Sailboat-1,41.769294,-71.387204,128.1,-0.04
Sailboat-2,41.771781,-71.396574,50.3,-0.23
Sailboat-3,41.782234,-71.386369,139.4,-0.54
Sailboat-4,41.775658,-71.393233,68.7,0.38
Sailboat-5,41.774719,-71.391303,6.2,0.36
Sailboat-1,41.769277,-71.387228,127.5,0.21
Sailboat-2,41.771811,-71.396622,49.5,-0.66
Sailboat-3,41.782199,-71.386400,139.2,-0.90
Sailboat-4,41.775642,-71.393219,68.3,0.48
Sailboat-5,41.774756,-71.391331,6.8,0.80
Sailboat-1,41.769285,-71.387266,128.7,-0.27
Sailboat-2,41.771841,-71.396587,50.3,-0.42
Sailboat-3,41.782167,-71.386408,139.4,-0.93
Sailboat-4,41.775616,-71.393250,67.6,0.48
Sailboat-5,41.774728,-71.391333,8.5,0.65
Sailboat-1,41.769296,-71.387235,130.7,0.21
Sailboat-2,41.771843,-71.396613,49.6,-0.04
Sailboat-3,41.782190,-71.386442,139.3,-1.00
Sailboat-4,41.775568,-71.393262,68.6,0.38
Sailboat-5,41.774715,-71.391298,10.2,0.18
Sailboat-1,41.769258,-71.387284,129.6,-0.14
Sailboat-2,41.771867,-71.396659,48.4,0.28
Sailboat-3,41.782226,-71.386422,138.3,-1.17
Sailboat-4,41.775581,-71.393291,70.4,0.19
Sailboat-5,41.774735,-71.391313,9.0,0.17
Sailboat-1,41.769217,-71.387275,128.8,0.03
Sailboat-2,41.771892,-71.396679,46.8,-0.04
Sailboat-3,41.782203,-71.386415,137.1,-0.64
Sailboat-4,41.775551,-71.393249,69.8,0.30
Sailboat-5,41.774716,-71.391287,10.7,0.58
Sailboat-1,41.769210,-71.387259,128.8,0.48
Sailboat-2,41.771885,-71.396632,46.3,0.21
Sailboat-3,41.782194,-71.386455,136.1,-0.77
Sailboat-4,41.775561,-71.393276,69.6,0.31
Sailboat-5,41.774761,-71.391266,10.1,0.46
Sailboat-1,41.769163,-71.387233,129.0,0.04
Sailboat-2,41.771858,-71.396641,47.6,0.40
Sailboat-3,41.782224,-71.386471,137.9,-0.50
Sailboat-4,41.775556,-71.393234,70.7,0.14
Sailboat-5,41.774777,-71.391289,8.9,0.14
Sailboat-1,41.769144,-71.387216,129.8,0.34
Sailboat-2,41.771874,-71.396656,46.4,-0.03
Sailboat-3,41.782266,-71.386455,138.2,-0.20
Sailboat-4,41.775511,-71.393262,69.2,0.18
Sailboat-5,41.774804,-71.391249,10.7,0.13
Sailboat-1,41.769144,-71.387207,130.1,0.21
Sailboat-2,41.771891,-71.396693,45.2,-0.43
Sailboat-3,41.782242,-71.386488,137.0,-0.41
Sailboat-4,41.775523,-71.393213,67.2,-0.02
Sailboat-5,41.774841,-71.391252,9.8,0.41
Sailboat-1,41.769105,-71.387236,132.0,0.41
Sailboat-2,41.771892,-71.396669,46.7,-0.00
Sailboat-3,41.782213,-71.386517,135.8,-0.71
Sailboat-4,41.775516,-71.393203,67.5,-0.00
Sailboat-5,41.774857,-71.391262,11.7,0.06
Sailboat-1,41.769063,-71.387199,130.3,0.78
Sailboat-2,41.771927,-71.396676,47.8,-0.19
Sailboat-3,41.782181,-71.386557,136.1,-0.43
Sailboat-4,41.775535,-71.393194,67.3,0.02
Sailboat-5,41.774882,-71.391218,10.3,-0.40
Sailboat-1,41.769103,-71.387170,129.3,0.96
Sailboat-2,41.771886,-71.396666,47.1,-0.01
Sailboat-3,41.782152,-71.386536,136.7,-0.61
Sailboat-4,41.775533,-71.393202,68.0,-0.25
Sailboat-5,41.774849,-71.391196,8.9,-0.72
